Titre,Entrées
Avatar : la voie de l'eau,"2 739 848,3 010 310"
Le Processus de paix,"34 918,15 048"
The Lost City of Z,"150 045,76 883"
Spider-Man : New Generation,"218 728,149 041"
Jeanne du Barry,"45 029,356 152"
Apaches,"33 659,10 567"
Deux Moi,"238 161,171 486"
Sans filtre,"179 786,105 276"
Misanthrope,"100 146,49 024"
Alibi.com 2,"81 100,1 017 788"
Le Prestige,"122 611,54 401"
Once Upon a Time… in Hollywood,"1 132 221,536 080"
Comme les 5 doigts de la main,"230 290,126 001"
Astérix et Obélix : L'Empire du milieu,"1 882 686,1 009 899"
Colombiana,"284 215,188 669"
Midsommar,"61 418,34 391"
Creed III,"1 105 921,503 413"
Drunk,"114 935,89 089"
Tinnitus,"174,29"
The Wave,"16 236,5 870"
The French Dispatch,"197 450,97 996"
Une belle course,"180 034,117 217"
Le Petit Spirou,"224 512,101 870"
La Voie de la justice,"113 153,80 478"
Mission: Impossible III,"996 860,414 202"
Coup de théâtre,"56 893,34 963"
Reste un peu,"152 695,113 050"
Uncharted,"955 650,551 715"
The Son,"102 272,61 377"
La Baleine et l'escargote,"40 156,12 035"
Coco,"948 846,619 289"
La Guerre des Boutons,"635 321,282 620"
Petites,"12 466,4 783"
Ailleurs si j'y suis,"10 680,3 940"
La Guerre des Lulus,"200 047,71 781"
Armageddon Time,"155 547,93 090"
Infidèle,"193 712,88 946"
Agents très spéciaux - Code U.N.C.L.E,"156 797,105 367"
Supercondriaque,"2 151 921,1 189 985"
Là où chantent les écrevisses,"110 381,55 542"
"The Dark Knight, Le Chevalier Noir","1 271 688,661 333"
Stillwater,"135 483,94 400"
L'Odeur du vent,"8 528,4 978"
Novembre,"592 681,429 138"
Ant-Man et la Guêpe : Quantumania,"735 356,437 550"
Annie Colère,"68 373,38 078"
Avatar,"2 648 596,2 925 087"
Parasite,"376 842,231 685"
The Whale,"65 064,69 274"
LOL (Laughing Out Loud) ®,"738 734,806 131"
J'accuse,"501 228,385 334"
Tout schuss,"201 653,167 104"
Don't Worry Darling,"151 272,91 621"
Hunger Games,"509 426,331 782"
As bestas,"74 066,55 172"
Get Out,"465 265,239 606"
Gone Girl,"539 178,349 702"
Whitney Houston : I Wanna Dance With Somebody,"64 834,61 105"
Les Misérables,"559 378,383 748"
The Gentlemen,"238 040,185 527"
Zillion,"278,34"
Black Adam,"713 308,657 103"
Le Bleu du Caftan,"54 381,41 365"
The Batman,"1 165 588,635 144"
"Simone, le voyage du siècle","486 242,355 869"
Une histoire d'amour et de désir,"16 502,9 195"
Les Bad Guys,"259 472,176 979"
Les Grandes vacances de cowboy et indien,"3 507,2 761"
Mademoiselle Chambon,"165 891,137 232"
Erreur de la banque en votre faveur,"304 692,176 540"
C’est mon homme,"24 890,13 155"
La Vie d'Adèle - Chapitres 1 et 2,"323 457,239 573"
Emily,"47 695,19 693"
Mourir peut attendre,"1 384 858,778 195"
Vers un avenir radieux,"91 786,47 190"
Les Algues vertes,125 566
À contretemps,"28 720,10 628"
Farang,"79 426,54 052"
Miraculous - le film,"660 421,294 174"
Spider-Man : Across The Spider-Verse,"550 808,390 802"
Une nuit,"58 679,31 934"
Élémentaire,"426 818,537 921"
Insidious: The Red Door,"306 107,160 642"
Asteroid City,"117 498,86 521"
Mission: Impossible – Dead Reckoning Partie 1,"930 141,54 688 347"
Indiana Jones et le Cadran de la Destinée,"1 089 875,643 714"
I’m Your Man,"16 932,13 036"
Burning Days,"45 633,32 190"
Le Menu,"124 279,71 102"
Jack Mimoun et les secrets de Val Verde,"257 163,145 455"
Dragon Ball Super: Super Hero,"218 070,83 380"
Nope,"224 705,140 522"
Maaveeran,4 480
Sparring,"24 464,6 107"
Houria,"47 403,18 128"
After - Chapitre 1,"624 513,303 456"
Fifi,"17 284,10 002"
"Super Mario Bros, le film","1 866 914,1 536 566"
"Cléo, Melvil et moi","1 849,352"
La Sirène,"3 933,1 379"
Des mains en or,"109 081,67 275"
Luise,"1 215,422"
Rheingold,"11 672,2 698"
Fast & Furious X,"1 140 846,514 473"
Les Trois Mousquetaires: D'Artagnan,"1 007 159,731 484"
Barbaque,"126 252,59 617"
Un homme heureux,"233 008,135 617"
Une femme de notre temps,"13 090,5 004"
Close,"19 030,82 750"
Vaincre ou mourir,"23 152,83 814"
Le Roi Arthur: La Légende d'Excalibur,"362 905,174 620"
Antichrist,"63 719,40 295"
Dunkerque,"925 204,540 377"
Toi non plus tu n'as rien vu,"4 869,1 201"
Un homme idéal,"337 525,168 994"
Top Gun: Maverick,"1 529 608,1 188 176"
Elle s'appelle Barbara,"298,64"
L'Improbable voyage d'Harold Fry,"24 634,12 188"
Dernière nuit à Milan,"40 869,24 465"
Normale,"12 196,5 807"
La Syndicaliste,"192 422,119 585"
Les Choses simples,"222 130,100 998"
À la belle étoile,"67 974,23 228"
Mauvaises herbes,"201 117,108 090"
Donjons & Dragons : L'Honneur des voleurs,"420 168,314 725"
L'Exorciste du Vatican,"155 555,115 170"
Mascarade,"91 498,295 895"
Retour chez ma mère,"643 863,412 121"
Plancha,"271 193,145 563"
Dune,"1 030 687,662 287"
La Chambre des merveilles,"298 308,117 724"
Assaut,1 204
Nightmare Alley,"142 309,97 546"
La La Land,"754 534,559 552"
Nezouh,"3 771,2 079"
Maestro(s),"111 837,64 856"
Everything Everywhere All at Once,"132 121,76 098"
Terrible Jungle,"83 427,43 860"
Goutte d'or,"27 639,16 273"
La Nuit du 12,"96 667,72 191"
Scream VI,"464 821,372 605"
Joyland,"32 996,27 469"
Insidious,"193 688,127 061"
Tenet,"948 378,411 702"
65 - la Terre d'avant,"187 043,68 511"
La Nuit du verre d’eau,"12 657,7 364"
Marinette,"26 273,12 278"
The Hunt,"19 864,17 071"
Mission Impossible - Fallout,"1 169 669,695 528"
Indiana Jones et le Royaume du Crâne de Cristal,"1 674 041,1 007 135"
Fumer fait tousser,"87 446,40 915"
Pop Redemption,"1 599,56 964"
Spy,"249 389,239 720"
Marcel le Coquillage (avec ses chaussures),"7 514,4 259"
Le Parfum vert,"80 190,64 259"
Les Petites victoires,"250 360,195 693"
Sick Of Myself,"14 638,8 570"
La Dernière reine,"21 049,17 812"
À l’abordage,"5 612,2 371"
De Grandes espérances,"82 734,47 503"
La Cage Dorée,"288 750,243 837"
Harry Potter à l'école des sorciers,"2 316 734,1 597 958"
En corps,"332 971,254 871"
C'est tout pour moi,"250 306,149 871"
Les Filles du Docteur March,"242 663,152 480"
C.R.A.Z.Y.,"91 203,65 988"
Je verrai toujours vos visages,"282 292,194 589"
Orgueil et préjugés,"167 705,112 825"
J’irai mourir dans les Carpates,"50 838,25 462"
Bullet Train,"491 067,313 237"
Evil Dead Rise,"235 926,167 421"
L'Innocent,"192 906,157 119"
Cendrillon,"636 418,369 136"
Inception,"1 305 534,830 961"
En eaux troubles,"710 798,372 024"
Joker,"1 576 425,1 228 940"
Beau Is Afraid,"35 019,17 095"
Tout Simplement Noir,"255 537,152 152"
Mort sur le Nil,"336 133,217 714"
"Love Again : un peu, beaucoup, passionnément","36 242,13 983"
Mission : Impossible - Protocole fantôme,"827 046,559 265"
Pornomelancolia,"3 611,1 363"
Ouistreham,"126 975,85 285"
Sage-Homme,"279 606,130 618"
Sauver ou périr,"338 929,210 053"
Ollie & compagnie,284
Ambulance,"142 412,72 539"
Stars At Noon,"13 094,4 692"
Le Croque-mitaine,"101 134,79 115"
Mon Crime,"427 391,309 967"
Suzume,"181 032,128 662"
Les Chevaliers du Zodiaque,"41 841,12 800"
Moka,"85 331,55 822"
Carmen,"24 397,11 694"
John Wick : Chapitre 4,"411 048,236 751"
L'Île rouge,"55 090,35 067"
Babylon,"508 796,347 316"
Omar la fraise,"140 144,71 383"
Sexygénaires,"63 084,31 575"
Chien de la casse,"20 877,14 016"
Aviator,"640 883,394 455"
Sous le sable,"154 347,195 542"
Tout le monde aime Jeanne,"63 691,36 907"
L'Odyssée de Pi,"426 112,525 187"
"Chonchon, le plus mignon des cochons","6 286,4 189"
Sur les chemins noirs,"438 142,254 985"
X - Le film,"31 224,12 023"
Green Book : Sur les routes du sud,"288 777,247 197"
Nos jours heureux,"252 982,194 594"
Tout Le Monde M'appelle Mike,"397,58"
Petit Pays,"101 776,71 131"
Un talent en or massif,"57 763,17 799"
Titanic,"498 212,332 440"
The Fabelmans,"367 332,202 193"
Interstellar,"1 071 360,572 034"
La Maison des égarées,"4 640,3 111"
Petit Jésus,13 176
Wahou !,"95 610,54 047"
Passages,"11 227,4 894"
Joy Ride,"9 258,772"
SISU - De l'Or et du Sang,"44 625,25 000"
Le Nouveau Jouet,"271 139,263 862"
Mon Inconnue,"209 564,133 287"
38°5 quai des orfèvres,"45 576,25 679"
Love Life,"34 071,21 218"
Les Gardiens de la Galaxie 3,"1 323 124,705 970"
Master Gardener,"20 443,8 981"
Yo Mama,"78 717,42 432"
Magnificat,"30 964,26 588"
L'Amour et les Forêts,"220 327,139 160"
Transformers: Rise Of The Beasts,"451 052,227 256"
Le Challenge,"54 361,46 613"
Limbo,23 509
Les Herbes sèches,32 179
Le Retour,22 450
Astérix et Obélix : Mission Cléopâtre,"3 685 097,3 208 512"
Le Loup de Wall Street,"1 013 324,701 800"
Il Boemo,"34 803,28 659"
La Petite sirène,"582 814,336 931"
The Flash,"388 700,184 539"
Les Vengeances de Maître Poutifard,"180 735,117 728"
There Will Be Blood,"180 519,112 951"
Rock'n Roll,"630 004,352 710"
Kompromat,"205 447,136 417"
Photo De Famille,"226 153,126 000"
Mission: Impossible - Rogue Nation,"1 233 768,646 680"
En Attendant Bojangles,"228 476,125 509"
Pirates des Caraïbes : la Malédiction du Black Pearl,"1 181 208,855 637"
Rumba la vie,"151 081,76 887"
Le Clan,"101 291,48 794"
Equalizer,"315 099,213 854"
L'Origine du mal,"56 107,34 987"
Couleurs de l'incendie,"302 030,188 727"
Prisoners,"354 954,291 860"
Kin : le commencement,"198 034,86 097"
Charlie et la chocolaterie,"766 547,677 656"
Brice de Nice,"1 346 829,942 968"
L'Année du requin,"79 534,39 418"
La Promesse de l'aube,"250 088,287 609"
Il était temps,"115 791,49 992"
Jurassic World: Le Monde d'après,"1 299 065,627 968"
Whiplash,"138 431,122 361"
"Encanto, la fantastique famille Madrigal","526 906,410 852"
Warcraft : Le commencement,"667 123,388 413"
Public Enemies,"593 398,330 177"
Blade Runner 2049,"544 508,262 900"
Le Mans 66,"402 917,277 941"
Crazy Bear,"75 915,20 862"
Chaos,"100 296,55 873"
Bienvenue chez les Ch'tis,"555 392,4 378 720"
Adieu Les Cons,"600 444,206 447"
Un homme en colère,"149 025,105 201"
À couteaux tirés,"283 889,183 408"
Cinquante Nuances plus claires,"1 257 650,760 074"
La Montagne,"39 384,29 681"
Premier Contact,"300 058,183 725"
Plus que jamais,"21 203,9 422"
Budapest,"126 231,58 307"
L'Exorciste,"621 727,410 318"
L'Astronaute,"35 020,13 630"
Le Principal,"60 604,33 220"
Knock at the Cabin,"109 685,62 522"
Cinquante Nuances de Grey,"2 081 638,905 314"
Illusions Perdues,"230 106,211 589"
Ténor,"126 348,68 209"
Eternal Sunshine of the Spotless Mind,"158 850,120 535"
Fatal,"376 835,258 975"
Time Out,"441 450,266 770"
The Dark Knight Rises,"1 835 547,954 334"
Au coeur de l'Océan,"138 532,76 571"
Moonrise Kingdom,"212 003,90 724"
Lost in Translation,"227 258,220 367"
Elvis,"343 596,311 924"
Le Tourbillon de la vie,"64 039,56 186"
L'Art du mensonge,"66 229,28 120"
Le Lycéen,"40 106,18 307"
Imitation Game,"297 339,231 685"
Tár,"98 869,72 394"
La mauvaise réputation,"14 799,10 007"
Le Journal d'une baby-sitter,"33 297,15 985"
Les Infidèles,"1 082 028,550 596"
Arrête-moi si tu peux,"1 137 654,851 346"
Antoinette dans les Cévennes,"173 550,181 407"
Les Banshees d'Inisherin,"99 482,87 626"
Eiffel,"408 803,320 027"
