Titre,Semaine,Entrées
Marinette,07 au 14 juin 2023,"26 273,12 278"
Novembre,05 au 12 octobre 2022,"592 681,429 138"
Mission: Impossible - Rogue Nation,12 au 19 août 2015,"1 233 768,646 680"
Corsage,14 au 21 décembre 2022,"35 145,17 271"
Une belle course,21 au 28 septembre 2022,"180 034,117 217"
Angélique,18 au 25 décembre 2013,"70 300,33 482"
Joker,09 au 16 octobre 2019,"1 576 425,1 228 940"
As bestas,20 au 27 juillet 2022,"74 066,55 172"
Il Boemo,21 au 28 juin 2023,"34 803,28 659"
Stillwater,22 au 29 septembre 2021,"135 483,94 400"
Coco,29 novembre au 6 décembre 2017,"948 846,619 289"
Nope,10 au 17 août 2022,"224 705,140 522"
Get Out,03 au 10 mai 2017,"465 265,239 606"
Tout Simplement Noir,08 au 15 juillet 2020,"255 537,152 152"
Yo Mama,05 au 12 juillet 2023,"78 717,42 432"
Close,26 octobre au 2 novembre 2022,"19 030,82 750"
Black Adam,19 au 26 octobre 2022,"713 308,657 103"
Collateral,29 septembre au 6 octobre 2004,"592 916,326 586"
Illusions Perdues,20 au 27 octobre 2021,"230 106,211 589"
Insomnia,06 au 13 novembre 2002,"401 107,217 716"
"Zodi et Téhu, frères du désert",08 au 15 février 2023,"84 934,61 784"
Le Seigneur des anneaux : la communauté de l'anneau,19 au 26 décembre 2001,"1 978 162,1 975 260"
La Petite sirène,24 au 31 mai 2023,"582 814,336 931"
Le Loup de Wall Street,25 décembre 2013 au 1 janvier 2014,"1 013 324,701 800"
La Vie d'Adèle - Chapitres 1 et 2,09 au 16 octobre 2013,"323 457,239 573"
Nightmare Alley,19 au 26 janvier 2022,"142 309,97 546"
Sick Of Myself,31 mai au 7 juin 2023,"14 638,8 570"
Aftersun,01 au 8 février 2023,"38 094,28 933"
La Cage Dorée,24 avril au 1 mai 2013,"288 750,243 837"
Retour chez ma mère,01 au 8 juin 2016,"643 863,412 121"
Sans filtre,28 septembre au 5 octobre 2022,"179 786,105 276"
Assaut,12 au 19 juillet 2023,1 204
À la belle étoile,22 février au 1 mars 2023,"67 974,23 228"
The Flash,14 au 21 juin 2023,"388 700,184 539"
Limbo,12 au 19 juillet 2023,23 509
65 - la Terre d'avant,15 au 22 mars 2023,"187 043,68 511"
À contretemps,05 au 12 juillet 2023,"28 720,10 628"
Le Retour,12 au 19 juillet 2023,22 450
Astérix et Obélix : Mission Cléopâtre,30 janvier au 6 février 2002,"3 685 097,3 208 512"
Les Vengeances de Maître Poutifard,28 juin au 5 juillet 2023,"180 735,117 728"
Normale,05 au 12 avril 2023,"12 196,5 807"
Dune,15 au 22 septembre 2021,"1 030 687,662 287"
Cendrillon,25 mars au 1 avril 2015,"636 418,369 136"
Spider-Man : New Generation,12 au 19 décembre 2018,"218 728,149 041"
Les Herbes sèches,12 au 19 juillet 2023,32 179
Barbaque,27 octobre au 3 novembre 2021,"126 252,59 617"
L'Éducation d'Ademoka,12 au 19 juillet 2023,1 110
Le Chat Potté 2 : la dernière quête,07 au 14 décembre 2022,"502 167,449 631"
Le Dernier duel,13 au 20 octobre 2021,"147 221,102 078"
Tu ne tueras point,09 au 16 novembre 2016,"216 473,129 857"
Melancholia,10 au 17 août 2011,"116 437,80 203"
Bac Nord,18 au 25 août 2021,"483 381,414 170"
Photo De Famille,05 au 12 septembre 2018,"226 153,126 000"
Comme les 5 doigts de la main,28 avril au 5 mai 2010,"230 290,126 001"
La Voie de la justice,29 janvier au 5 février 2020,"113 153,80 478"
The Big Short : le Casse du siècle,23 au 30 décembre 2015,"305 395,216 278"
Tinnitus,05 au 12 juillet 2023,"174,29"
Là où chantent les écrevisses,17 au 24 août 2022,"110 381,55 542"
L'Odeur du vent,24 au 31 mai 2023,"8 528,4 978"
Dragon Ball Super: Super Hero,05 au 12 octobre 2022,"218 070,83 380"
Colombiana,27 juillet au 3 août 2011,"284 215,188 669"
Drunk,14 au 21 octobre 2020,"114 935,89 089"
L'Improbable voyage d'Harold Fry,31 mai au 7 juin 2023,"24 634,12 188"
Green Book : Sur les routes du sud,23 au 30 janvier 2019,"288 777,247 197"
Jack Mimoun et les secrets de Val Verde,12 au 19 octobre 2022,"257 163,145 455"
X - Le film,02 au 9 novembre 2022,"31 224,12 023"
La Nuit du verre d’eau,14 au 21 juin 2023,"12 657,7 364"
