iter	RMSE
0	290380.5364
1	279797.889
2	269907.7511
3	261684.0557
4	254403.0005
5	246992.6279
6	240181.6203
7	235204.8013
8	231016.9067
9	227203.5011
10	223110.753
11	219653.2872
12	216109.1016
13	213090.8645
14	210705.5645
15	208450.8495
16	206350.6794
17	204816.3326
18	203299.3609
19	201626.7863
20	199370.1503
21	197685.0271
22	196013.2418
23	194135.3033
24	192645.5631
25	191236.8116
26	190244.117
27	189135.1309
28	187615.9427
29	186666.8617
30	185579.0845
31	184622.1439
32	183184.8334
33	181760.499
34	180392.1886
35	180021.0462
36	179191.9998
37	178022.7948
38	177271.146
39	176248.4679
40	175605.8299
41	175001.992
42	174524.7139
43	174147.187
44	173557.4569
45	172909.5866
46	172358.3236
47	171725.7066
48	171113.7529
49	170453.6788
50	169939.876
51	168904.0419
52	168575.581
53	168159.6051
54	167406.6151
55	167039.0776
56	166552.2744
57	166209.8004
58	165314.7712
59	164734.1545
60	164062.9682
61	163518.7587
62	162712.0626
63	162231.8925
64	162058.9329
65	161194.093
66	160741.3619
67	160205.7881
68	159756.555
69	159358.9584
70	159055.5263
71	158678.8514
72	158077.9454
73	157479.2991
74	157156.6021
75	156902.898
76	156513.9019
77	156153.475
78	155547.6598
79	154760.7118
80	154313.1181
81	154144.9402
82	153507.1324
83	152958.3719
84	152401.7031
85	151733.2326
86	151509.476
87	151372.4915
88	150796.8887
89	150611.5811
90	150242.9886
91	149831.0699
92	149787.2084
93	149615.2609
94	149542.0057
95	149196.0064
96	149173.8885
97	148441.3728
98	148094.3684
99	147347.4171
100	147266.1411
101	146812.5138
102	146387.302
103	146316.2505
104	145734.1992
105	145515.4685
106	145220.7326
107	145130.3737
108	145096.3485
109	144977.5746
110	144617.402
111	144056.3019
112	143244.9258
113	142909.8524
114	142540.0559
115	142007.8005
116	141582.5233
117	141305.4056
118	141156.7125
119	140672.0535
120	140130.6496
121	139878.5916
122	139283.1503
123	139181.0666
124	138837.8172
125	138562.785
126	138067.1475
127	137793.9892
128	137284.5877
129	136906.5414
130	136430.0622
131	135998.1563
132	135572.2441
133	135317.6801
134	135001.6579
135	134469.2046
136	134055.2846
137	133911.7247
138	133447.9615
139	133132.1303
140	132864.4492
141	132618.7997
142	132334.3056
143	132016.0126
144	131795.8384
145	131455.4603
146	131424.8482
147	130895.6252
148	130488.2976
149	130215.9148
150	129933.0441
151	129824.4525
152	129623.8942
153	129387.5378
154	129100.7951
155	128705.6396
156	128301.277
157	128144.1888
158	127510.1647
159	127264.426
160	127103.7762
161	126829.8229
162	126561.938
163	126141.4044
164	125815.596
165	125401.7953
166	125049.9273
167	124669.7751
168	124078.8007
169	123757.2285
170	123456.1143
171	123061.5646
172	122702.061
173	122398.6062
174	122067.3842
175	121806.0903
176	121596.3477
177	121290.9501
178	120945.7096
179	120701.6891
180	120389.5515
181	120248.5759
182	119714.9447
183	119456.0849
184	119042.7022
185	118881.0881
186	118614.0073
187	118353.5989
188	118093.0256
189	117722.7638
190	117487.4615
191	117358.2887
192	117180.7612
193	117042.1565
194	116638.0326
195	116459.3944
196	116111.9511
197	115752.9829
198	115545.215
199	115231.3333
200	115045.8158
201	115034.9786
202	114809.2627
203	114655.8518
204	114371.2071
205	114093.2519
206	113896.0164
207	113787.9348
208	113597.2094
209	113364.275
210	112890.6366
211	112602.5936
212	112406.4689
213	112309.4134
214	112240.7243
215	111808.4378
216	111560.0414
217	111247.1018
218	111049.2753
219	110685.3206
220	110536.6925
221	110225.6336
222	109964.7602
223	109956.3098
224	109748.363
225	109372.539
226	109125.1328
227	108867.5626
228	108617.7845
229	108462.0428
230	108089.2571
231	107999.6989
232	107867.2071
233	107668.2437
234	107464.9747
235	107220.1691
236	106806.0747
237	106517.6061
238	106509.6052
239	106311.6908
240	106075.0085
241	105994.1943
242	105974.9767
243	105715.9766
244	105496.671
245	105112.4366
246	105053.814
247	105036.3458
248	104968.4013
249	104723.5754
