iter	Passed	Remaining
0	4	1020
1	8	1060
2	13	1091
3	18	1108
4	21	1067
5	25	1034
6	28	995
7	33	1005
8	37	995
9	40	981
10	44	970
11	49	976
12	53	968
13	56	955
14	61	962
15	65	963
16	69	953
17	73	951
18	77	944
19	82	943
20	86	940
21	89	931
22	93	923
23	97	922
24	101	916
25	105	909
26	109	903
27	113	902
28	117	897
29	121	892
30	125	884
31	129	882
32	133	876
33	137	873
34	141	868
35	146	868
36	149	861
37	153	855
38	157	851
39	161	846
40	165	842
41	169	838
42	172	832
43	177	829
44	180	822
45	184	817
46	187	811
47	191	806
48	195	802
49	199	798
50	203	793
51	206	787
52	211	785
53	214	780
54	218	776
55	222	772
56	227	769
57	230	764
58	234	760
59	238	754
60	242	752
61	246	748
62	251	745
63	255	742
64	260	740
65	263	735
66	268	732
67	272	728
68	276	725
69	280	721
70	283	715
71	288	712
72	292	708
73	296	704
74	299	699
75	303	695
76	307	691
77	311	687
78	315	682
79	319	677
80	323	675
81	327	671
82	331	666
83	335	662
84	339	659
85	343	655
86	347	650
87	350	645
88	355	643
89	359	639
90	363	634
91	367	630
92	371	627
93	375	623
94	379	619
95	383	615
96	388	612
97	392	609
98	396	604
99	400	600
100	404	597
101	408	593
102	412	589
103	416	584
104	420	581
105	424	576
106	428	572
107	431	567
108	436	564
109	440	560
110	444	556
111	448	552
112	452	548
113	456	544
114	459	539
115	464	536
116	468	533
117	472	528
118	476	524
119	480	520
120	485	517
121	488	512
122	492	508
123	496	504
124	500	500
125	503	495
126	507	491
127	510	486
128	514	482
129	518	478
130	522	474
131	525	470
132	529	465
133	533	462
134	537	457
135	541	453
136	544	449
137	548	445
138	552	441
139	555	436
140	559	432
141	562	428
142	566	424
143	570	419
144	574	415
145	578	411
146	582	408
147	586	403
148	590	399
149	593	395
150	598	392
151	602	388
152	605	384
153	609	379
154	614	376
155	618	372
156	621	368
157	625	364
158	630	360
159	634	356
160	638	352
161	642	348
162	647	345
163	651	341
164	655	337
165	660	334
166	664	330
167	667	325
168	671	321
169	674	317
170	679	313
171	682	309
172	686	305
173	690	301
174	694	297
175	697	293
176	701	289
177	705	285
178	709	281
179	713	277
180	717	273
181	720	269
182	724	265
183	728	261
184	732	257
185	735	253
186	739	249
187	744	245
188	747	241
189	751	237
190	755	233
191	759	229
192	763	225
193	767	221
194	771	217
195	775	213
196	779	209
197	782	205
198	786	201
199	791	197
200	795	193
201	798	189
202	802	185
203	807	182
204	810	178
205	814	174
206	818	170
207	823	166
208	827	162
209	830	158
210	834	154
211	838	150
212	843	146
213	846	142
214	850	138
215	855	134
216	859	130
217	863	126
218	867	122
219	871	118
220	875	114
221	879	110
222	882	106
223	886	102
224	890	98
225	894	94
226	897	90
227	901	87
228	906	83
229	909	79
230	913	75
231	918	71
232	922	67
233	926	63
234	930	59
235	933	55
236	937	51
237	941	47
238	945	43
239	948	39
240	953	35
241	957	31
242	961	27
243	965	23
244	969	19
245	973	15
246	977	11
247	981	7
248	986	3
249	989	0
