Titre,Entrées
Novembre,"592 681,429 138"
Ant-Man et la Guêpe : Quantumania,"735 356,437 550"
Stillwater,"135 483,94 400"
Annie Colère,"68 373,38 078"
Avatar,"2 648 596,2 925 087"
Parasite,"376 842,231 685"
The Whale,"65 064,69 274"
L'Odeur du vent,"8 528,4 978"
À contretemps,"28 720,10 628"
Là où chantent les écrevisses,"110 381,55 542"
LOL (Laughing Out Loud) ®,"738 734,806 131"
Vers un avenir radieux,"91 786,47 190"
Once Upon a Time… in Hollywood,"1 132 221,536 080"
"The Dark Knight, Le Chevalier Noir","1 271 688,661 333"
Le Prestige,"122 611,54 401"
Comme les 5 doigts de la main,"230 290,126 001"
La Voie de la justice,"113 153,80 478"
Colombiana,"284 215,188 669"
Midsommar,"61 418,34 391"
Creed III,"1 105 921,503 413"
Close,"19 030,82 750"
The Wave,"16 236,5 870"
Ailleurs si j'y suis,"10 680,3 940"
The French Dispatch,"197 450,97 996"
Armageddon Time,"155 547,93 090"
Tinnitus,"174,29"
Tout schuss,"201 653,167 104"
Infidèle,"193 712,88 946"
Agents très spéciaux - Code U.N.C.L.E,"156 797,105 367"
Burning Days,"45 633,32 190"
Jack Mimoun et les secrets de Val Verde,"257 163,145 455"
Le Menu,"124 279,71 102"
Maaveeran,4 480
Misanthrope,"100 146,49 024"
After - Chapitre 1,"624 513,303 456"
Nope,"224 705,140 522"
Sparring,"24 464,6 107"
Emily,"47 695,19 693"
As bestas,"74 066,55 172"
Get Out,"465 265,239 606"
Gone Girl,"539 178,349 702"
Houria,"47 403,18 128"
La Guerre des Lulus,"200 047,71 781"
La Vie d'Adèle - Chapitres 1 et 2,"323 457,239 573"
Joy Ride,"9 258,772"
Mourir peut attendre,"1 384 858,778 195"
Love Life,"34 071,21 218"
SISU - De l'Or et du Sang,"44 625,25 000"
Master Gardener,"20 443,8 981"
Magnificat,"30 964,26 588"
Les Gardiens de la Galaxie 3,"1 323 124,705 970"
L'Amour et les Forêts,"220 327,139 160"
Dragon Ball Super: Super Hero,"218 070,83 380"
Farang,"79 426,54 052"
Transformers: Rise Of The Beasts,"451 052,227 256"
Le Challenge,"54 361,46 613"
Asteroid City,"117 498,86 521"
Les Algues vertes,125 566
Insidious: The Red Door,"306 107,160 642"
Spider-Man : Across The Spider-Verse,"550 808,390 802"
Une nuit,"58 679,31 934"
Élémentaire,"426 818,537 921"
Miraculous - le film,"660 421,294 174"
Indiana Jones et le Cadran de la Destinée,"1 089 875,643 714"
Les Misérables,"559 378,383 748"
Zillion,"278,34"
"Simone, le voyage du siècle","486 242,355 869"
Black Adam,"713 308,657 103"
Le Bleu du Caftan,"54 381,41 365"
Une histoire d'amour et de désir,"16 502,9 195"
The Batman,"1 165 588,635 144"
Mission: Impossible – Dead Reckoning Partie 1,930 141
Drunk,"114 935,89 089"
Les Bad Guys,"259 472,176 979"
C’est mon homme,"24 890,13 155"
La Baleine et l'escargote,"40 156,12 035"
Mademoiselle Chambon,"165 891,137 232"
Une belle course,"180 034,117 217"
Le Petit Spirou,"224 512,101 870"
Coup de théâtre,"56 893,34 963"
Coco,"948 846,619 289"
Reste un peu,"152 695,113 050"
Les Grandes vacances de cowboy et indien,"3 507,2 761"
The Son,"102 272,61 377"
La Guerre des Boutons,"635 321,282 620"
Petites,"12 466,4 783"
Orgueil et préjugés,"167 705,112 825"
Mission: Impossible III,"996 860,414 202"
Uncharted,"955 650,551 715"
En eaux troubles,"710 798,372 024"
Cendrillon,"636 418,369 136"
Tout Simplement Noir,"255 537,152 152"
Mort sur le Nil,"336 133,217 714"
Sick Of Myself,"14 638,8 570"
À l’abordage,"5 612,2 371"
De Grandes espérances,"82 734,47 503"
En corps,"332 971,254 871"
Joker,"1 576 425,1 228 940"
Harry Potter à l'école des sorciers,"2 316 734,1 597 958"
Supercondriaque,"2 151 921,1 189 985"
Erreur de la banque en votre faveur,"304 692,176 540"
Corsage,"35 145,17 271"
Inception,"1 305 534,830 961"
Le Roi Arthur: La Légende d'Excalibur,"362 905,174 620"
Elle s'appelle Barbara,"298,64"
La Dernière reine,"21 049,17 812"
Top Gun: Maverick,"1 529 608,1 188 176"
Toi non plus tu n'as rien vu,"4 869,1 201"
Beau Is Afraid,"35 019,17 095"
L'Innocent,"192 906,157 119"
Evil Dead Rise,"235 926,167 421"
Bullet Train,"491 067,313 237"
Barbaque,"126 252,59 617"
Normale,"12 196,5 807"
C'est tout pour moi,"250 306,149 871"
Apaches,"33 659,10 567"
Un tour chez ma fille,"146 389,108 672"
La Syndicaliste,"192 422,119 585"
Everything Everywhere All at Once,"132 121,76 098"
Nezouh,"3 771,2 079"
Terrible Jungle,"83 427,43 860"
Insidious,"193 688,127 061"
Maestro(s),"111 837,64 856"
Goutte d'or,"27 639,16 273"
Scream VI,"464 821,372 605"
La Nuit du 12,"96 667,72 191"
Joyland,"32 996,27 469"
65 - la Terre d'avant,"187 043,68 511"
Tenet,"948 378,411 702"
Retour chez ma mère,"643 863,412 121"
Nightmare Alley,"142 309,97 546"
La Cage Dorée,"288 750,243 837"
Assaut,1 204
La Chambre des merveilles,"298 308,117 724"
La La Land,"754 534,559 552"
The Lost City of Z,"150 045,76 883"
C.R.A.Z.Y.,"91 203,65 988"
Dune,"1 030 687,662 287"
"Love Again : un peu, beaucoup, passionnément","36 242,13 983"
Pornomelancolia,"3 611,1 363"
Sage-Homme,"279 606,130 618"
Ambulance,"142 412,72 539"
Ollie & compagnie,284
Ouistreham,"126 975,85 285"
Les Filles du Docteur March,"242 663,152 480"
Dunkerque,"925 204,540 377"
Spider-Man : New Generation,"218 728,149 041"
Sauver ou périr,"338 929,210 053"
Suzume,"181 032,128 662"
Mon Crime,"427 391,309 967"
Stars At Noon,"13 094,4 692"
Des mains en or,"109 081,67 275"
"Cléo, Melvil et moi","1 849,352"
Luise,"1 215,422"
Wahou !,"95 610,54 047"
Fast & Furious X,"1 140 846,514 473"
Dernière nuit à Milan,"40 869,24 465"
Rheingold,"11 672,2 698"
Les Trois Mousquetaires: D'Artagnan,"1 007 159,731 484"
Passages,"11 227,4 894"
38°5 quai des orfèvres,"45 576,25 679"
Moka,"85 331,55 822"
Tirailleurs,"456 751,281 155"
Chien de la casse,"20 877,14 016"
Babylon,"508 796,347 316"
Omar la fraise,"140 144,71 383"
John Wick : Chapitre 4,"411 048,236 751"
Aviator,"640 883,394 455"
Mission: Impossible - Rogue Nation,"1 233 768,646 680"
Yo Mama,"78 717,42 432"
"Chonchon, le plus mignon des cochons","6 286,4 189"
Il Boemo,"34 803,28 659"
La Petite sirène,"582 814,336 931"
Limbo,23 509
The Flash,"388 700,184 539"
Le Retour,22 450
Les Herbes sèches,32 179
Astérix et Obélix : Mission Cléopâtre,"3 685 097,3 208 512"
Petit Jésus,13 176
Sous le sable,"154 347,195 542"
Les Vengeances de Maître Poutifard,"180 735,117 728"
The Hunt,"19 864,17 071"
La Nuit du verre d’eau,"12 657,7 364"
Indiana Jones et le Royaume du Crâne de Cristal,"1 674 041,1 007 135"
Fumer fait tousser,"87 446,40 915"
Marinette,"26 273,12 278"
Marcel le Coquillage (avec ses chaussures),"7 514,4 259"
La Maison des égarées,"4 640,3 111"
Mission Impossible - Fallout,"1 169 669,695 528"
Pop Redemption,"1 599,56 964"
Spy,"249 389,239 720"
Le Parfum vert,"80 190,64 259"
Sur les chemins noirs,"438 142,254 985"
Tout le monde aime Jeanne,"63 691,36 907"
X - Le film,"31 224,12 023"
L'Odyssée de Pi,"426 112,525 187"
Les Petites victoires,"250 360,195 693"
Green Book : Sur les routes du sud,"288 777,247 197"
Nos jours heureux,"252 982,194 594"
Petit Pays,"101 776,71 131"
Tout Le Monde M'appelle Mike,"397,58"
Un talent en or massif,"57 763,17 799"
Titanic,"498 212,332 440"
Mon Inconnue,"209 564,133 287"
Jeanne du Barry,"45 029,356 152"
Le Processus de paix,"34 918,15 048"
J'accuse,"501 228,385 334"
Interstellar,"1 071 360,572 034"
Avatar : la voie de l'eau,"2 739 848,3 010 310"
Astérix et Obélix : L'Empire du milieu,"1 882 686,1 009 899"
Deux Moi,"238 161,171 486"
Carmen,"24 397,11 694"
Les Chevaliers du Zodiaque,"41 841,12 800"
L'Île rouge,"55 090,35 067"
Sexygénaires,"63 084,31 575"
Le Nouveau Jouet,"271 139,263 862"
Je verrai toujours vos visages,"282 292,194 589"
The Fabelmans,"367 332,202 193"
Le Croque-mitaine,"101 134,79 115"
There Will Be Blood,"180 519,112 951"
Ni une ni deux,"44 702,24 401"
Un moment d'égarement,"303 270,189 199"
"No Country for Old Men - Non, ce pays n'est pas pour le vieil homme","325 024,217 115"
La French,"29 130,36 835"
M3GAN,"218 120,126 143"
Kin : le commencement,"198 034,86 097"
Equalizer,"315 099,213 854"
Sans un bruit,"232 862,216 813"
Ça,"908 589,581 250"
Brice de Nice,"1 346 829,942 968"
Charlie et la chocolaterie,"766 547,677 656"
Cigarettes et chocolat chaud,"64 971,33 204"
Le Voyage de Chihiro,"311 037,216 694"
The Innocents,"11 449,6 722"
Le Lycéen,"40 106,18 307"
Couleurs de l'incendie,"302 030,188 727"
Menteur,"242 165,191 336"
House of Gucci,"293 474,181 408"
Le Marchand de sable,"10 913,4 446"
Le Paradis,"8 324,2 446"
