titre,entree
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
En pleine tempête (2000),1 403 086 entrées
Meilleur espoir féminin (2000),1 184 971 entrées
Dancer in the Dark (2000),1 166 150 entrées
The Patriot : Le Chemin de la liberté (2000),1 160 975 entrées
In the Mood for Love (2000),1 096 985 entrées
,
,
,
,
,
,
,
,
,
,
,
Anna et le Roi (1999),1 076 068 entrées
Escrocs mais pas trop (2000),1 038 868 entrées
Le Prince du Pacifique (2000),1 028 773 entrées
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Taxi 2 (2000),10 349 454 entrées
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Sixième Sens (1999),7 799 130 entrées
Dinosaure (2000),5 156 328 entrées
Gladiator (2000),4 806 654 entrées
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Toy Story 2 (1999),4 531 702 entrées
Mission: Impossible 2 (2000),4 097 256 entrées
Le Goût des autres (2000),3 859 151 entrées
Scary Movie (2000),3 777 452 entrées
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Incassable (2000),3 450 178 entrées
Les Rivières pourpres (2000),3 255 184 entrées
Chicken Run (2000),3 192 445 entrées
American Beauty (1999),3 001 844 entrées
Scream 3 (2000),2 655 005 entrées
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
"Erin Brockovich, seule contre tous (2000)",2 570 294 entrées
Billy Elliot (2000),2 514 645 entrées
Sleepy Hollow - La Légende du cavalier sans tête (1999), 2 491 374 entrées
60 secondes chrono (2000),2 441 122 entrées
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
La Plage (2000),2 280 331 entrées
"Pokémon, le film (1998)",2 224 456 entrées
"Harry, un ami qui vous veut du bien (2000)",1 970 948 entrées
Jet Set (2000),1 912 895 entrées
X-Men (2000),1 862 436 entrées
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Stuart Little (1999),1 858 983 entrées
Charlie et ses Drôles de Dames (2000),1 858 930 entrées
Apparences (2000),1 842 572 entrées
Tigre et Dragon (2000),1 764 894 entrées
,
,
,
,
,
,
,
,
,
,
,
,
