,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,titre,acteur_1,acteur_2,acteur_3,réalisateur,distributeur,note_presse,duree,genre,pays,type,nominations,prix,annee_production,Semaine,Entrées_1ère_semaine,actor_1_popularity,actor_2_popularity,actor_3_popularity,director_popularity,vacances,saison,actors_popularity,langue,genres
0,0,0,0,L'Amour et les Forêts,Virginie Efira,Melvil Poupaud,Dominique Reymond,Valérie Donzelli, Diaphana Distribution ,3.8,105,Thriller,France,Long-métrage,0,0,2023,24 au 31 mai 2023,220327,32.967,4.671,1.294,5.421,False,Printemps,38.932,fr,"Drama, Romance"
1,1,1,1,Monsieur Constant,Jean-Claude Drouot,Cali,Danièle Evenou,Alan Simon, Babaika ,2.3,108,Comédie dramatique,France,Long-métrage,0,0,2023,17 au 24 mai 2023,40,2.312,1.387,2.066,0.828,False,Printemps,5.765,fr,"Comedy, Drama"
2,2,2,2,Les Herbes sèches,Deniz Celiloğlu,Merve Dizdar,Musab Ekici,Nuri Bilge Ceylan, Memento Distribution ,4.0,197,Drame,Turquie,Long-métrage,1,5,2023,12 au 19 juillet 2023,32179,5.924,15.291,1.316,5.635,True,Été,22.531,tr,Drama
3,3,3,3,Carmen,Paul Mescal,Melissa Barrera,Rossy de Palma,Benjamin Millepied, Pathé ,2.5,116,Drame,Australie,Long-métrage,0,0,2023,14 au 21 juin 2023,24397,8.724,36.632,12.756,3.581,False,Été,58.112,en,"Music, Drama"
4,4,4,4,Carry On Jatta 3,Gippy Grewal,Sonam Bajwa,Binnu Dhillon,Smeep Kang, Friday Entertainment ,3.082899408284024,140,Comédie,Inde,Long-métrage,0,0,2023,28 juin au 5 juillet 2023,427,3.024,12.425,1.55,2.248,False,Été,16.999000000000002,pa,"Drama, Comedy"
5,5,5,5,Farang,Nassim Lyes,Loryn Nounay,Olivier Gourmet,Xavier Gens, StudioCanal ,3.4,99,Action,France,Long-métrage,0,0,2023,28 juin au 5 juillet 2023,79426,10.037,0.6,4.117,1.897,False,Été,14.754,fr,"Action, Crime, Drama"
6,6,6,6,Les Trois Mousquetaires: D'Artagnan,François Civil,Vincent Cassel,Romain Duris,Martin Bourboulon, Pathé ,3.7,121,Aventure,France,Long-métrage,0,0,2023,05 au 12 avril 2023,1007159,21.277,21.751,10.465,2.073,True,Printemps,53.49300000000001,fr,"Action, Adventure, History, Drama"
7,7,7,7,Transformers: Rise Of The Beasts,Anthony Ramos,Dominique Fishback,Luna Lauren Velez,Steven Caple Jr., Paramount Pictures France ,2.8,128,Action,U.S.A.,Long-métrage,0,0,2023,07 au 14 juin 2023,451052,30.076,29.873,12.267,4.965,False,Été,72.216,en,"Action, Adventure, Science Fiction"
8,8,8,8,Moi quand je me réincarne en Slime - Le film : Scarlet Bond,Takuya Eguchi,Makoto Furukawa,Rina Hidaka,Yasuhito Kikuchi, CGR EVENTS ,3.3,114,Animation,Japon,Long-métrage,0,0,2023,01 au 8 février 2023,26855,16.742,6.614,11.126,2.524,False,Hiver,34.482,ja,"Animation, Fantasy, Adventure"
9,9,9,9,Comme une actrice,Julie Gayet,Benjamin Biolay,Agathe Bonitzer,Sébastien Bailly, Epicentre Films / Jour2fete ,2.6,93,Comédie dramatique,France,Long-métrage,0,0,2023,08 au 15 mars 2023,6161,7.087,5.558,3.669,0.6,False,Printemps,16.314,fr,"Drama, Fantasy"
10,10,10,10,Astérix et Obélix : L'Empire du milieu,Guillaume Canet,Gilles Lellouche,Marion Cotillard,Guillaume Canet, Pathé ,2.4,112,Aventure,France,Long-métrage,0,0,2023,01 au 8 février 2023,1882686,14.502,13.133,28.489,17.951,False,Hiver,56.124,fr,"Comedy, Adventure, Family"
11,11,11,11,Passages,Franz Rogowski,Ben Whishaw,Adèle Exarchopoulos,Ira Sachs, SBS Distribution ,2.8,92,Drame,France,Long-métrage,0,0,2023,28 juin au 5 juillet 2023,11227,15.906,18.235,20.306,1.83,False,Été,54.447,fr,"Drama, Romance"
12,12,12,12,Rabia,Megan Northam,Lubna Azabal,Natacha Krief,Mareike Engelhardt, Memento Distribution ,3.082899408284024,100,Thriller,France,Long-métrage,0,0,2023,02 au 9 juin 2010,14940,8.729,8.363,1.82,0.98,False,Été,18.912,es,"Horror, Drama, Thriller"
13,13,13,13,38°5 quai des orfèvres,Didier Bourdon,Caroline Anglade,Yann Papin,Benjamin Lehrer, KMBO ,2.3,84,Comédie,France,Long-métrage,1,2,2023,21 au 28 juin 2023,45576,2.761,3.411,1.999,0.6,False,Été,8.171000000000001,fr,"Comedy, Crime"
14,14,14,14,Petit Jésus,Antoine Bertrand,Esteban Azuara Eymard,Gérard Darmon,Julien Rigoulot, Wild Bunch Distribution ,2.7,95,Comédie,France,Long-métrage,0,0,2023,12 au 19 juillet 2023,13176,2.992,0.98,6.743,0.98,True,Été,10.715,fr,Comedy
15,15,15,15,"Super Mario Bros, le film",Pierre Tessier,Chris Pratt,Jérémie Covillault,Aaron Horvath, Universal Pictures International France ,3.1,92,Animation,U.S.A.,Long-métrage,0,0,2023,05 au 12 avril 2023,1866914,2.088,46.533,2.529,1.294,True,Printemps,51.150000000000006,en,"Animation, Family, Adventure, Fantasy, Comedy"
16,16,16,16,Les Vengeances de Maître Poutifard,Christian Clavier,Isabelle Nanty,Jennie-Anne Walker,Pierre-François Martin-Laval, UGC Distribution ,2.0,90,Comédie,France,Long-métrage,0,0,2023,28 juin au 5 juillet 2023,180735,8.187,8.334,1.978,3.12,False,Été,18.499,fr,"Comedy, Family"
17,17,17,17,Les Petites victoires,Michel Blanc,Julia Piaton,Lionel Abelanski,Mélanie Auffret, Zinc Film ,3.6,90,Comédie,France,Long-métrage,0,2,2023,01 au 8 mars 2023,250360,3.286,5.473,2.836,0.6,False,Printemps,11.595,fr,Comedy
18,18,18,18,Tout Le Monde M'appelle Mike,Abdirisak Mohamed,Daphne Patakia,Pierre Lottin,Guillaume Bonnier, À Vif Cinémas / The Dark ,3.1,89,Thriller,France,Long-métrage,0,0,2023,05 au 12 juillet 2023,397,0.6,7.643,8.114,0.6,True,Été,16.357,fr,Thriller
19,19,19,19,La Gravité,Max Gomis,Jean-Baptiste Anoumon,Steve Tientcheu,Cédric Ido, Alba Films / Trésor Cinéma ,3.2,86,Action,France,Long-métrage,0,0,2023,03 au 10 mai 2023,10324,0.6,2.708,6.197,0.6,False,Printemps,9.505,fr,"Drama, Action, Science Fiction"
20,20,20,20,Magnificat,Karin Viard,François Berléand,Maxime Bergeron,Virginie Sauveur, Orange Studio / Alba Films ,2.5,97,Drame,France,Long-métrage,0,0,2023,21 au 28 juin 2023,30964,5.104,6.916,2.216,1.4,False,Été,14.236,fr,"Drama, Crime"
21,21,21,21,Mission: Impossible – Dead Reckoning Partie 1,Tom Cruise,Hayley Atwell,Ving Rhames,Christopher McQuarrie, Paramount Pictures France ,4.0,163,Action,U.S.A.,Long-métrage,0,0,2023,12 au 19 juillet 2023,930141,61.823,61.355,13.373,10.139,True,Été,136.551,en,"Action, Adventure, Thriller, Science Fiction"
22,22,22,22,Mon Crime,Nadia Tereszkiewicz,Rebecca Marder,Isabelle Huppert,François Ozon, Gaumont Distribution ,4.0,103,Comédie dramatique,France,Long-métrage,0,0,2023,08 au 15 mars 2023,427391,13.163,9.041,11.259,7.137,False,Printemps,33.463,fr,"Comedy, Drama, Mystery"
23,23,23,23,La Marginale,Corinne Masiero,Vincent Chalambert,Karina Marimon,Frank Cimière, Sony Pictures Releasing France ,2.2,97,Comédie,France,Long-métrage,0,0,2023,03 au 10 mai 2023,27833,12.565,0.6,4.159,0.6,False,Printemps,17.323999999999998,fr,"Comedy, Drama"
24,24,24,24,Marinette,Garance Marillier,Emilie Dequenne,Alban Lenoir,Virginie Verrier, The Jokers / Les Bookmakers ,3.0,96,Biopic,France,Long-métrage,0,0,2023,07 au 14 juin 2023,26273,8.47,3.106,28.716,0.6,False,Été,40.292,fr,"Drama, History"
25,25,25,25,Maaveeran,Sivakarthikeyan,Aditi Shankar,Mysskin,Madonne Ashwin, Friday Entertainment ,3.3,146,Drame,Inde,Long-métrage,0,0,2023,12 au 19 juillet 2023,4480,7.536,0.98,1.747,40.396,True,Été,10.263,ta,"Drama, Action"
26,26,26,26,"Love Again : un peu, beaucoup, passionnément",Priyanka Chopra Jonas,Sam Heughan,Céline Dion,Jim Strouse, Sony Pictures Releasing France ,2.4,105,Comédie,U.S.A.,Long-métrage,0,0,2023,07 au 14 juin 2023,36242,18.072,12.351,4.671,1.194,False,Été,35.094,en,"Romance, Drama, Comedy"
27,27,27,27,Nos cérémonies,Raymond Baur,Simon Baur,Maïra Villena,Simon Rieth, The Jokers / Les Bookmakers ,3.7,104,Drame,France,Long-métrage,10,0,2023,03 au 10 mai 2023,4721,0.828,0.6,0.6,0.98,False,Printemps,2.028,fr,"Drama, Fantasy"
28,28,28,28,Miraculous - le film,Anouck Hautbois,Benjamin Bollen,Antoine Tomé,Jeremy Zag, SND ,2.7,99,Animation,France,Long-métrage,0,0,2023,05 au 12 juillet 2023,660421,20.985,18.376,4.217,6.815,True,Été,43.578,fr,"Animation, Family, Action, Fantasy, Romance"
29,29,29,29,Jeanne du Barry,Maïwenn,Johnny Depp,Benjamin Lavernhe, Maïwenn, Le Pacte ,3.1,116,Drame,France,Long-métrage,0,0,2023,10 au 17 mai 2023,356152,13.244,29.142,5.545,11.573,False,Printemps,47.931,fr,"Drama, History, Romance"
30,30,30,30,Evil Dead Rise,Lily Sullivan,Alyssa Sutherland,Morgan Davies,Lee Cronin, Metropolitan FilmExport ,3.1,97,Epouvante-horreur,U.S.A.,Long-métrage,0,0,2023,19 au 26 avril 2023,235926,25.027,13.619,14.732,8.128,True,Printemps,53.378,en,"Thriller, Horror"
31,31,31,31,Élémentaire,Adèle Exarchopoulos,Leah Lewis,Vincent Lacoste,Peter Sohn, The Walt Disney Company France ,3.5,102,Animation,U.S.A.,Long-métrage,0,0,2023,21 au 28 juin 2023,426818,20.306,9.978,9.953,14.055,False,Été,40.237,fr,Documentary
32,32,32,32,Les Chevaliers du Zodiaque,Mackenyu,Famke Janssen,Sean Bean,Tomasz Baginski, Sony Pictures Releasing France ,1.5,112,Aventure,Japon,Long-métrage,0,0,2023,24 au 31 mai 2023,41841,22.069,38.329,39.795,4.045,False,Printemps,100.193,en,"Fantasy, Action, Adventure"
33,33,33,33,Sexygénaires,Thierry Lhermitte,Patrick Timsit,Marie Bunel,Robin Sykes, Apollo Films / Orange Studio ,2.8,80,Comédie,France,Long-métrage,3,0,2023,14 au 21 juin 2023,63084,3.174,1.998,3.591,0.98,False,Été,8.763,fr,Comedy
34,34,34,34,Monster,Sakura Andô,Eita Nagayama,Soya Kurokawa,Hirokazu Kore-eda, Le Pacte ,3.082899408284024,126,Drame,Japon,Long-métrage,2,5,2023,14 au 21 avril 2004,148510,5.711,7.01,0.6,6.695,True,Printemps,13.321,en,"Crime, Drama"
