,titre,acteur_1,acteur_2,acteur_3,réalisateur,distributeur,note_presse,duree,genre,pays,type,nominations,prix,annee_production,Semaine,Entrées_1ère_semaine,director_popularity
0,L'Amour et les Forêts,Virginie Efira,Melvil Poupaud,Dominique Reymond,Valérie Donzelli, Diaphana Distribution ,3.8,105,Thriller,France,Long-métrage,0,0,2023,24 au 31 mai 2023,220327,5.421
1,Monsieur Constant,Jean-Claude Drouot,Cali,Danièle Evenou,Alan Simon, Babaika ,2.3,108,Comédie dramatique,France,Long-métrage,0,0,2023,17 au 24 mai 2023,40,0.828
2,Les Herbes sèches,Deniz Celiloğlu,Merve Dizdar,Musab Ekici,Nuri Bilge Ceylan, Memento Distribution ,4.0,197,Drame,Turquie,Long-métrage,1,5,2023,12 au 19 juillet 2023,32179,5.635
3,Carmen,Paul Mescal,Melissa Barrera,Rossy de Palma,Benjamin Millepied, Pathé ,2.5,116,Drame,Australie,Long-métrage,0,0,2023,14 au 21 juin 2023,24397,3.581
4,Carry On Jatta 3,Gippy Grewal,Sonam Bajwa,Binnu Dhillon,Smeep Kang, Friday Entertainment ,3.082899408284024,140,Comédie,Inde,Long-métrage,0,0,2023,28 juin au 5 juillet 2023,427,2.248
5,Farang,Nassim Lyes,Loryn Nounay,Olivier Gourmet,Xavier Gens, StudioCanal ,3.4,99,Action,France,Long-métrage,0,0,2023,28 juin au 5 juillet 2023,79426,1.897
6,Les Trois Mousquetaires: D'Artagnan,François Civil,Vincent Cassel,Romain Duris,Martin Bourboulon, Pathé ,3.7,121,Aventure,France,Long-métrage,0,0,2023,05 au 12 avril 2023,1007159,2.073
7,Transformers: Rise Of The Beasts,Anthony Ramos,Dominique Fishback,Luna Lauren Velez,Steven Caple Jr., Paramount Pictures France ,2.8,128,Action,U.S.A.,Long-métrage,0,0,2023,07 au 14 juin 2023,451052,4.965
8,Moi quand je me réincarne en Slime - Le film : Scarlet Bond,Takuya Eguchi,Makoto Furukawa,Rina Hidaka,Yasuhito Kikuchi, CGR EVENTS ,3.3,114,Animation,Japon,Long-métrage,0,0,2023,01 au 8 février 2023,26855,2.524
9,Comme une actrice,Julie Gayet,Benjamin Biolay,Agathe Bonitzer,Sébastien Bailly, Epicentre Films / Jour2fete ,2.6,93,Comédie dramatique,France,Long-métrage,0,0,2023,08 au 15 mars 2023,6161,0.6
10,Astérix et Obélix : L'Empire du milieu,Guillaume Canet,Gilles Lellouche,Marion Cotillard,Guillaume Canet, Pathé ,2.4,112,Aventure,France,Long-métrage,0,0,2023,01 au 8 février 2023,1882686,17.951
11,Passages,Franz Rogowski,Ben Whishaw,Adèle Exarchopoulos,Ira Sachs, SBS Distribution ,2.8,92,Drame,France,Long-métrage,0,0,2023,28 juin au 5 juillet 2023,11227,1.83
12,Rabia,Megan Northam,Lubna Azabal,Natacha Krief,Mareike Engelhardt, Memento Distribution ,3.082899408284024,100,Thriller,France,Long-métrage,0,0,2023,02 au 9 juin 2010,14940,0.98
13,38°5 quai des orfèvres,Didier Bourdon,Caroline Anglade,Yann Papin,Benjamin Lehrer, KMBO ,2.3,84,Comédie,France,Long-métrage,1,2,2023,21 au 28 juin 2023,45576,0.6
14,Petit Jésus,Antoine Bertrand,Esteban Azuara Eymard,Gérard Darmon,Julien Rigoulot, Wild Bunch Distribution ,2.7,95,Comédie,France,Long-métrage,0,0,2023,12 au 19 juillet 2023,13176,0.98
15,"Super Mario Bros, le film",Pierre Tessier,Chris Pratt,Jérémie Covillault,Aaron Horvath, Universal Pictures International France ,3.1,92,Animation,U.S.A.,Long-métrage,0,0,2023,05 au 12 avril 2023,1866914,1.294
16,Les Vengeances de Maître Poutifard,Christian Clavier,Isabelle Nanty,Jennie-Anne Walker,Pierre-François Martin-Laval, UGC Distribution ,2.0,90,Comédie,France,Long-métrage,0,0,2023,28 juin au 5 juillet 2023,180735,3.12
17,Les Petites victoires,Michel Blanc,Julia Piaton,Lionel Abelanski,Mélanie Auffret, Zinc Film ,3.6,90,Comédie,France,Long-métrage,0,2,2023,01 au 8 mars 2023,250360,0.6
18,Tout Le Monde M'appelle Mike,Abdirisak Mohamed,Daphne Patakia,Pierre Lottin,Guillaume Bonnier, À Vif Cinémas / The Dark ,3.1,89,Thriller,France,Long-métrage,0,0,2023,05 au 12 juillet 2023,397,0.6
19,La Gravité,Max Gomis,Jean-Baptiste Anoumon,Steve Tientcheu,Cédric Ido, Alba Films / Trésor Cinéma ,3.2,86,Action,France,Long-métrage,0,0,2023,03 au 10 mai 2023,10324,0.6
20,Magnificat,Karin Viard,François Berléand,Maxime Bergeron,Virginie Sauveur, Orange Studio / Alba Films ,2.5,97,Drame,France,Long-métrage,0,0,2023,21 au 28 juin 2023,30964,1.4
21,Mission: Impossible – Dead Reckoning Partie 1,Tom Cruise,Hayley Atwell,Ving Rhames,Christopher McQuarrie, Paramount Pictures France ,4.0,163,Action,U.S.A.,Long-métrage,0,0,2023,12 au 19 juillet 2023,930141,10.139
22,Mon Crime,Nadia Tereszkiewicz,Rebecca Marder,Isabelle Huppert,François Ozon, Gaumont Distribution ,4.0,103,Comédie dramatique,France,Long-métrage,0,0,2023,08 au 15 mars 2023,427391,7.137
23,La Marginale,Corinne Masiero,Vincent Chalambert,Karina Marimon,Frank Cimière, Sony Pictures Releasing France ,2.2,97,Comédie,France,Long-métrage,0,0,2023,03 au 10 mai 2023,27833,0.6
24,Marinette,Garance Marillier,Emilie Dequenne,Alban Lenoir,Virginie Verrier, The Jokers / Les Bookmakers ,3.0,96,Biopic,France,Long-métrage,0,0,2023,07 au 14 juin 2023,26273,0.6
25,Maaveeran,Sivakarthikeyan,Aditi Shankar,Mysskin,Madonne Ashwin, Friday Entertainment ,3.3,146,Drame,Inde,Long-métrage,0,0,2023,12 au 19 juillet 2023,4480,40.396
26,"Love Again : un peu, beaucoup, passionnément",Priyanka Chopra Jonas,Sam Heughan,Céline Dion,Jim Strouse, Sony Pictures Releasing France ,2.4,105,Comédie,U.S.A.,Long-métrage,0,0,2023,07 au 14 juin 2023,36242,1.194
27,Nos cérémonies,Raymond Baur,Simon Baur,Maïra Villena,Simon Rieth, The Jokers / Les Bookmakers ,3.7,104,Drame,France,Long-métrage,10,0,2023,03 au 10 mai 2023,4721,0.98
28,Miraculous - le film,Anouck Hautbois,Benjamin Bollen,Antoine Tomé,Jeremy Zag, SND ,2.7,99,Animation,France,Long-métrage,0,0,2023,05 au 12 juillet 2023,660421,6.815
29,Jeanne du Barry,Maïwenn,Johnny Depp,Benjamin Lavernhe, Maïwenn, Le Pacte ,3.1,116,Drame,France,Long-métrage,0,0,2023,10 au 17 mai 2023,356152,11.573
30,Evil Dead Rise,Lily Sullivan,Alyssa Sutherland,Morgan Davies,Lee Cronin, Metropolitan FilmExport ,3.1,97,Epouvante-horreur,U.S.A.,Long-métrage,0,0,2023,19 au 26 avril 2023,235926,8.128
31,Élémentaire,Adèle Exarchopoulos,Leah Lewis,Vincent Lacoste,Peter Sohn, The Walt Disney Company France ,3.5,102,Animation,U.S.A.,Long-métrage,0,0,2023,21 au 28 juin 2023,426818,14.055
32,Les Chevaliers du Zodiaque,Mackenyu,Famke Janssen,Sean Bean,Tomasz Baginski, Sony Pictures Releasing France ,1.5,112,Aventure,Japon,Long-métrage,0,0,2023,24 au 31 mai 2023,41841,4.045
33,Sexygénaires,Thierry Lhermitte,Patrick Timsit,Marie Bunel,Robin Sykes, Apollo Films / Orange Studio ,2.8,80,Comédie,France,Long-métrage,3,0,2023,14 au 21 juin 2023,63084,0.98
