titre,acteur_1,acteur_2,acteur_3,réalisateur,distributeur,note_presse,duree,genre,pays,type,nominations,prix,annee_production,Semaine,Entrées_1ère_semaine
L'Amour et les Forêts,Virginie Efira,Melvil Poupaud,Dominique Reymond,Valérie Donzelli, Diaphana Distribution ,3.8,105,Thriller,France,Long-métrage,0,0,2023,24 au 31 mai 2023,220327
Monsieur Constant,Jean-Claude Drouot,Cali,Danièle Evenou,Alan Simon, Babaika ,2.3,108,Comédie dramatique,France,Long-métrage,0,0,2023,17 au 24 mai 2023,40
Les Herbes sèches,Deniz Celiloğlu,Merve Dizdar,Musab Ekici,Nuri Bilge Ceylan, Memento Distribution ,4.0,197,Drame,Turquie,Long-métrage,1,5,2023,12 au 19 juillet 2023,32179
Carmen,Paul Mescal,Melissa Barrera,Rossy de Palma,Benjamin Millepied, Pathé ,2.5,116,Drame,Australie,Long-métrage,0,0,2023,14 au 21 juin 2023,24397
Youth,Pierce Brosnan,Pierce Brosnan,Pierce Brosnan,Brett Marty,distributeur inconnu,3.082899408284024,0,Thriller,U.S.A.,Long-métrage,0,0,2023,05 au 12 mars 2014,2910
Carry On Jatta 3,Gippy Grewal,Sonam Bajwa,Binnu Dhillon,Smeep Kang, Friday Entertainment ,3.082899408284024,140,Comédie,Inde,Long-métrage,0,0,2023,28 juin au 5 juillet 2023,427
Backstage,acteur inconnu,acteur inconnu,acteur inconnu,Afef Ben Mahmoud,distributeur inconnu,3.082899408284024,0,genre inconnu,Maroc,Long-métrage,0,0,2023,16 au 23 novembre 2005,26068
Farang,Nassim Lyes,Loryn Nounay,Olivier Gourmet,Xavier Gens, StudioCanal ,3.4,99,Action,France,Long-métrage,0,0,2023,28 juin au 5 juillet 2023,79426
Les Trois Mousquetaires: D'Artagnan,François Civil,Vincent Cassel,Romain Duris,Martin Bourboulon, Pathé ,3.7,121,Aventure,France,Long-métrage,0,0,2023,05 au 12 avril 2023,1007159
Transformers: Rise Of The Beasts,Anthony Ramos,Dominique Fishback,Luna Lauren Velez,Steven Caple Jr., Paramount Pictures France ,2.8,128,Action,U.S.A.,Long-métrage,0,0,2023,07 au 14 juin 2023,451052
Sublime,acteur inconnu,acteur inconnu,acteur inconnu,Francis Lawrence,distributeur inconnu,3.082899408284024,0,genre inconnu,U.S.A.,Long-métrage,0,0,2023,17 au 24 mai 2023,3463
Entre ses mains,Natacha Lindinger,Yannick Choirat,Eric Caravaca,Vincent Lannoo,distributeur inconnu,3.082899408284024,90,genre inconnu,France,Télefilm,0,0,2023,21 au 28 septembre 2005,191616
Juliette,acteur inconnu,acteur inconnu,acteur inconnu,Vania Leturcq,distributeur inconnu,3.082899408284024,0,genre inconnu,Belgique,Long-métrage,0,0,2023,17 au 24 juillet 2013,8400
Moi quand je me réincarne en Slime - Le film : Scarlet Bond,Takuya Eguchi,Makoto Furukawa,Rina Hidaka,Yasuhito Kikuchi, CGR EVENTS ,3.3,114,Animation,Japon,Long-métrage,0,0,2023,01 au 8 février 2023,26855
