Titre,Semaine,Entrées,Entrées_1,Entrées_2,Entrées_1ère_semaine
Marinette,07 au 14 juin 2023,"26273,12278",26273,12278,26273
Novembre,05 au 12 octobre 2022,"592681,429138",592681,429138,592681
Mission: Impossible - Rogue Nation,12 au 19 août 2015,"1233768,646680",1233768,646680,1233768
Corsage,14 au 21 décembre 2022,"35145,17271",35145,17271,35145
Une belle course,21 au 28 septembre 2022,"180034,117217",180034,117217,180034
Angélique,18 au 25 décembre 2013,"70300,33482",70300,33482,70300
Joker,09 au 16 octobre 2019,"1576425,1228940",1576425,1228940,1576425
As bestas,20 au 27 juillet 2022,"74066,55172",74066,55172,74066
Il Boemo,21 au 28 juin 2023,"34803,28659",34803,28659,34803
Stillwater,22 au 29 septembre 2021,"135483,94400",135483,94400,135483
Coco,29 novembre au 6 décembre 2017,"948846,619289",948846,619289,948846
Nope,10 au 17 août 2022,"224705,140522",224705,140522,224705
Get Out,03 au 10 mai 2017,"465265,239606",465265,239606,465265
Tout Simplement Noir,08 au 15 juillet 2020,"255537,152152",255537,152152,255537
Yo Mama,05 au 12 juillet 2023,"78717,42432",78717,42432,78717
Close,26 octobre au 2 novembre 2022,"19030,82750",19030,82750,19030
Black Adam,19 au 26 octobre 2022,"713308,657103",713308,657103,713308
Collateral,29 septembre au 6 octobre 2004,"592916,326586",592916,326586,592916
Illusions Perdues,20 au 27 octobre 2021,"230106,211589",230106,211589,230106
Insomnia,06 au 13 novembre 2002,"401107,217716",401107,217716,401107
"Zodi et Téhu, frères du désert",08 au 15 février 2023,"84934,61784",84934,61784,84934
Le Seigneur des anneaux : la communauté de l'anneau,19 au 26 décembre 2001,"1978162,1975260",1978162,1975260,1978162
La Petite sirène,24 au 31 mai 2023,"582814,336931",582814,336931,582814
Le Loup de Wall Street,25 décembre 2013 au 1 janvier 2014,"1013324,701800",1013324,701800,1013324
La Vie d'Adèle - Chapitres 1 et 2,09 au 16 octobre 2013,"323457,239573",323457,239573,323457
Nightmare Alley,19 au 26 janvier 2022,"142309,97546",142309,97546,142309
Sick Of Myself,31 mai au 7 juin 2023,"14638,8570",14638,8570,14638
Aftersun,01 au 8 février 2023,"38094,28933",38094,28933,38094
La Cage Dorée,24 avril au 1 mai 2013,"288750,243837",288750,243837,288750
Retour chez ma mère,01 au 8 juin 2016,"643863,412121",643863,412121,643863
Sans filtre,28 septembre au 5 octobre 2022,"179786,105276",179786,105276,179786
Assaut,12 au 19 juillet 2023,1204,1204,,1204
À la belle étoile,22 février au 1 mars 2023,"67974,23228",67974,23228,67974
The Flash,14 au 21 juin 2023,"388700,184539",388700,184539,388700
Limbo,12 au 19 juillet 2023,23509,23509,,23509
65 - la Terre d'avant,15 au 22 mars 2023,"187043,68511",187043,68511,187043
À contretemps,05 au 12 juillet 2023,"28720,10628",28720,10628,28720
Le Retour,12 au 19 juillet 2023,22450,22450,,22450
Astérix et Obélix : Mission Cléopâtre,30 janvier au 6 février 2002,"3685097,3208512",3685097,3208512,3685097
Les Vengeances de Maître Poutifard,28 juin au 5 juillet 2023,"180735,117728",180735,117728,180735
Normale,05 au 12 avril 2023,"12196,5807",12196,5807,12196
Dune,15 au 22 septembre 2021,"1030687,662287",1030687,662287,1030687
Cendrillon,25 mars au 1 avril 2015,"636418,369136",636418,369136,636418
Spider-Man : New Generation,12 au 19 décembre 2018,"218728,149041",218728,149041,218728
Les Herbes sèches,12 au 19 juillet 2023,32179,32179,,32179
Barbaque,27 octobre au 3 novembre 2021,"126252,59617",126252,59617,126252
L'Éducation d'Ademoka,12 au 19 juillet 2023,1110,1110,,1110
Le Chat Potté 2 : la dernière quête,07 au 14 décembre 2022,"502167,449631",502167,449631,502167
Le Dernier duel,13 au 20 octobre 2021,"147221,102078",147221,102078,147221
Tu ne tueras point,09 au 16 novembre 2016,"216473,129857",216473,129857,216473
Melancholia,10 au 17 août 2011,"116437,80203",116437,80203,116437
Bac Nord,18 au 25 août 2021,"483381,414170",483381,414170,483381
