iter	RMSE
0	290554.9593
1	279924.4649
2	269962.6551
3	261122.2106
4	254148.4297
5	247418.8991
6	241586.9387
7	235897.1332
8	231413.7352
9	227471.0183
10	222985.3081
11	218739.7693
12	215666.9122
13	212729.9164
14	210739.6257
15	208439.6856
16	205644.2591
17	203671.4518
18	201319.312
19	199170.5867
20	197539.5804
21	196274.2473
22	195044.6532
23	193106.9021
24	191618.8191
25	190596.5907
26	188909.6749
27	188050.927
28	187151.9895
29	185766.3579
30	184665.8247
31	183622.3042
32	182460.1109
33	181344.2956
34	180371.7894
35	179042.0771
36	178256.2442
37	177892.8498
38	176977.123
39	176433.9833
40	175119.0331
41	174051.3052
42	173221.289
43	172223.3765
44	171496.3563
45	171087.6545
46	170170.1719
47	169407.5394
48	168692.6754
49	168293.4199
50	167523.1456
51	167012.3584
52	166129.312
53	165702.7141
54	165042.4494
55	164637.7895
56	164083.4504
57	163823.8455
58	163092.9906
59	162921.8957
60	161982.6997
61	161383.9617
62	161082.5856
63	160529.95
64	160386.786
65	159586.0264
66	159206.0103
67	158816.5254
68	158255.391
69	157562.2512
70	156930.4552
71	156144.1213
72	155432.5479
73	154575.5781
74	153916.6272
75	153560.1511
76	153322.0597
77	153013.8722
78	152659.7064
79	152335.1934
80	151814.6385
81	151785.2751
82	151292.2496
83	150806.7576
84	150196.6492
85	149681.1499
86	149383.4643
87	149320.9663
88	148981.9061
89	148690.2513
90	148428.576
91	147981.9746
92	147331.5443
93	146970.0885
94	146795.7659
95	146741.8143
96	146590.2963
97	146214.429
98	145659.1234
99	145464.5915
100	145004.2548
101	144629.3059
102	144392.6083
103	144338.9001
104	143804.4941
105	143608.1429
106	143266.5716
107	143238.5383
108	142536.2713
109	142235.6269
110	141957.8123
111	141821.7192
112	141613.5031
113	141348.0234
114	140878.7142
115	140310.8469
116	139969.3647
117	139442.6675
118	139339.0717
119	139077.3815
120	138678.9387
121	138659.0953
122	138183.555
123	138090.3939
124	137734.0821
125	137489.1866
126	136539.3676
127	136133.5339
128	135998.0537
129	135746.8195
130	135378.6225
131	134936.9359
132	134610.5812
133	134154.786
134	133832.3743
135	133403.9048
136	133166.1362
137	132739.0627
138	132287.4417
139	132010.3193
140	131631.9259
141	131381.7878
142	131074.4949
143	131060.3707
144	130928.4534
145	130687.4557
146	130471.3276
147	130282.4852
148	129841.7521
149	129461.2308
150	129172.9489
151	128945.7618
152	128553.0085
153	128173.3234
154	127638.9944
155	127453.5758
156	127049.0877
157	126838.9879
158	126651.7782
159	126455.4791
160	126323.0032
161	125750.5236
162	125670.8515
163	125405.1983
164	124829.6599
165	124604.7802
166	124259.1272
167	124077.6083
168	123657.322
169	123317.4258
170	122968.7061
171	122344.981
172	122243.6618
173	122022.5511
174	121837.864
175	121343.5383
176	121195.0201
177	121118.2547
178	120450.1527
179	120197.4245
180	119897.753
181	119658.4525
182	119382.3624
183	119145.9054
184	118872.7531
185	118861.4123
186	118651.15
187	118424.0453
188	118362.1311
189	118221.9325
190	117871.0565
191	117740.6825
192	117464.466
193	117380.9641
194	117178.7895
195	117127.7548
196	116891.94
197	116609.4128
198	116357.7791
199	116199.2383
200	115963.1655
201	115641.6621
202	115421.0306
203	115241.8815
204	115007.4841
205	114801.0879
206	114402.5866
207	114047.7063
208	113876.6308
209	113726.5878
210	113449.4803
211	113172.7041
212	113050.8364
213	112985.1843
214	112884.4334
215	112610.134
216	112259.0888
217	112107.1665
218	111917.1041
219	111635.9289
220	111400.2657
221	111233.7009
222	110994.8548
223	110800.5588
224	110517.0684
225	110348.1465
226	110184.9729
227	109630.0173
228	109505.7839
229	109271.3341
230	108938.9951
231	108816.0094
232	108645.9923
233	108236.1375
234	108065.4181
235	107687.1792
236	107484.5577
237	107039.6845
238	106845.3406
239	106629.8799
240	106415.0532
241	106244.605
242	106049.1652
243	105649.87
244	105510.4019
245	105219.9969
246	104968.574
247	104643.1388
248	104361.4101
249	104117.0815
