iter	Passed	Remaining
0	4	1221
1	10	1272
2	14	1232
3	20	1249
4	25	1240
5	30	1229
6	35	1237
7	41	1248
8	45	1230
9	51	1236
10	56	1220
11	61	1215
12	67	1227
13	72	1226
14	77	1218
15	83	1215
16	88	1213
17	94	1217
18	103	1260
19	111	1281
20	122	1330
21	149	1547
22	159	1577
23	169	1593
24	176	1584
25	182	1570
26	189	1562
27	195	1552
28	202	1546
29	210	1540
30	216	1531
31	221	1511
32	227	1493
33	234	1491
34	239	1473
35	245	1458
36	254	1462
37	268	1496
38	275	1490
39	290	1527
40	297	1518
41	303	1502
42	308	1485
43	315	1475
44	321	1463
45	327	1451
46	332	1436
47	338	1422
48	343	1411
49	349	1397
50	354	1384
51	360	1371
52	365	1357
53	370	1344
54	376	1334
55	381	1321
56	386	1308
57	391	1297
58	397	1287
59	403	1279
60	409	1269
61	416	1264
62	422	1253
63	428	1244
64	433	1233
65	438	1222
66	444	1213
67	450	1205
68	456	1196
69	461	1185
70	466	1174
71	471	1165
72	476	1156
73	482	1147
74	488	1140
75	494	1133
76	501	1125
77	508	1122
78	515	1115
79	522	1110
80	528	1103
81	534	1095
82	540	1088
83	547	1081
84	551	1071
85	557	1062
86	562	1053
87	566	1043
88	572	1036
89	578	1027
90	582	1018
91	587	1009
92	592	1000
93	597	992
94	603	984
95	608	976
96	613	968
97	618	959
98	623	951
99	628	943
100	634	935
101	639	927
102	644	919
103	649	911
104	654	904
105	660	897
106	665	890
107	672	883
108	677	876
109	683	869
110	688	862
111	694	855
112	701	850
113	727	867
114	732	860
115	738	853
116	744	846
117	751	840
118	756	832
119	761	824
120	767	817
121	771	809
122	776	801
123	782	794
124	787	787
125	792	780
126	798	773
127	803	765
128	808	758
129	814	751
130	819	744
131	824	737
132	830	730
133	836	723
134	841	716
135	846	709
136	851	702
137	856	695
138	862	688
139	867	681
140	872	674
141	878	668
142	883	661
143	889	654
144	894	648
145	900	641
146	905	634
147	910	627
148	916	621
149	921	614
150	927	607
151	932	601
152	937	594
153	942	587
154	947	580
155	953	574
156	958	568
157	963	561
158	968	554
159	974	548
160	979	541
161	984	535
162	989	528
163	995	521
164	1000	515
165	1005	508
166	1010	502
167	1015	495
168	1020	489
169	1026	483
170	1031	476
171	1036	470
172	1042	464
173	1048	457
174	1053	451
175	1058	445
176	1063	438
177	1068	432
178	1074	426
179	1079	419
180	1084	413
181	1090	407
182	1095	401
183	1100	394
184	1106	388
185	1111	382
186	1117	376
187	1122	370
188	1127	363
189	1132	357
190	1138	351
191	1142	345
192	1148	339
193	1153	332
194	1160	327
195	1164	320
196	1171	315
197	1176	308
198	1180	302
199	1185	296
200	1191	290
201	1196	284
202	1201	278
203	1206	272
204	1212	266
205	1218	260
206	1224	254
207	1229	248
208	1235	242
209	1240	236
210	1246	230
211	1252	224
212	1257	218
213	1262	212
214	1268	206
215	1274	200
216	1279	194
217	1285	188
218	1291	182
219	1296	176
220	1302	170
221	1307	164
222	1312	158
223	1318	153
224	1323	147
225	1329	141
226	1334	135
227	1339	129
228	1344	123
229	1350	117
230	1354	111
231	1359	105
232	1364	99
233	1370	93
234	1375	87
235	1381	81
236	1386	76
237	1392	70
238	1397	64
239	1402	58
240	1407	52
241	1413	46
242	1418	40
243	1423	34
244	1428	29
245	1433	23
246	1438	17
247	1444	11
248	1449	5
249	1455	0
